cod_mun,nom_mun,sig_uf,regiao,tx_aprov_ef_1,saeb_mat_ef_1,saeb_port_ef_1,ideb_ef_1,tx_aprov_ef_2,saeb_mat_ef_2,saeb_port_ef_2,ideb_ef_2,tx_aprov_em,saeb_mat_em,saeb_port_em,ideb_em,populacao,exp_vida,analfabetismo,tx_pobreza,pib_per_capita,mortalidade_inf,maternidade_inf,type,num_operadoras,0_a_2_mbs,2.5_a_5_mbs,6_a_10_mbs,11_a_15_mbs,15_a_25_mbs,acima_25_mbs
1100015,ALTA FLORESTA D'OESTE,RO,NORTE,92.4,226.44,204.7,5.7,95.3,270.02,265.1,5.2,92.2,285.14,278.52,4.5,24392,70.75,11.99,26.04,12.44,14.12,0.28,broadband,3,26.0,0.0,0.0,0.0,0.0,22.0
1100023,ARIQUEMES,RO,NORTE,88.7,214.18,199.92,5.2,93.7,266.09,265.26,5.1,83.4,278.58,278.78,4,90353,73.36,7.9,11.54,13.69,13.34,0.7,broadband,7,54.0,94.0,86.0,12.0,63.0,162.0
1100023,ARIQUEMES,RO,NORTE,88.7,214.18,199.92,5.2,93.7,266.09,265.26,5.1,83.4,278.58,278.78,4,90353,73.36,7.9,11.54,13.69,13.34,0.7,mobile,1,0.0,14.0,24.0,32.0,0.0,0.0
1100049,CACOAL,RO,NORTE,98,223.45,209.48,5.8,98.3,267.51,260.58,5.3,91.5,282.99,278.36,4.4,78574,74.27,8.29,13.08,14.69,9.64,0.34,broadband,5,58.0,72.0,0.0,0.0,42.0,424.0
1100049,CACOAL,RO,NORTE,98,223.45,209.48,5.8,98.3,267.51,260.58,5.3,91.5,282.99,278.36,4.4,78574,74.27,8.29,13.08,14.69,9.64,0.34,mobile,3,16.0,32.0,0.0,32.0,0.0,0.0
1100056,CEREJEIRAS,RO,NORTE,97.8,245.81,227.03,6.4,97.3,268.57,261.62,5.3,90.7,288.99,283.11,4.6,17029,72.94,10.29,13.7,15.09,3.61,0.36,broadband,2,24.0,0.0,0.0,0.0,0.0,0.0
1100064,COLORADO DO OESTE,RO,NORTE,98.1,237.95,222.91,6.3,94.2,265.87,264.69,5.1,94.7,291.11,282.09,4.7,18591,73.81,12.43,15.76,10.9,20.58,0.82,broadband,2,0.0,0.0,0.0,0.0,0.0,74.0
1100080,COSTA MARQUES,RO,NORTE,89.6,214.12,196.81,4.9,96.3,260.15,255.54,4.5,96.1,272.78,264.26,4.3,13678,70.04,8.6,30.48,8.04,32.41,0.93,broadband,3,1.0,0.0,2.0,0.0,0.0,0.0
1100098,ESPIGAO D'OESTE,RO,NORTE,96.5,227.64,211.36,5.9,98.9,272.35,262.84,5.4,95.3,279.25,276.43,4.5,28729,74.15,11.33,13.86,11.05,7.5,1.31,broadband,4,16.0,0.0,0.0,0.0,0.0,2.0
1100106,GUAJARA-MIRIM,RO,NORTE,91.1,208.96,196.5,5,94.8,241.1,242.99,4.5,87.3,268.53,272.51,4,41656,74.39,8.06,23.47,10.44,21.38,1.66,broadband,5,0.0,52.0,44.0,0.0,0.0,0.0
