Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Brasil,73.94,16.7,9.61,22.2,22.44,21.17,20.19,13.39,12.88,12.41,12.71,12.38,0.96,0.95,0.88,0.84,0.76,15.2
Abadia de Goiás (GO),74.82,13.4,7.81,17.62,18.86,15.7,13.72,14.81,32.68,6.17,35,20.41,,0.65,,,0.51,6.18
Abadia dos Dourados (MG),75.35,14.8,9.12,16.66,21.55,16.93,16.99,0,28.17,0,16.95,0,1.75,,1.89,,,7.94
Abadiânia (GO),75.46,12.6,10.84,10.6,12.52,11.55,10.38,12.2,29.13,21.86,15.63,19.61,1.83,1.46,2.73,1.56,1.47,8.45
Abaeté (MG),75.9,14,8.72,10.91,11.71,10.42,12.12,18.66,0,8.4,9.39,12.3,0.75,0.77,0.84,0.47,0.41,6.69
Abaetetuba (PA),72.89,19,13.71,5.07,5.59,5.72,5.46,15.76,9.24,14.66,14.61,15.85,1.42,0.96,1.02,0.71,0.74,38.95
Abaiara (CE),69.87,26.9,29.4,3.81,4.54,4.2,4.23,17.24,14.81,21.58,33.33,0,1.72,2.22,2.16,0.83,2.33,44.64
Abaíra (BA),69.76,28.1,19.45,3.89,4.71,4.3,4.64,55.56,20.41,15.63,0,0,,,,,,31.74
Abaré (BA),71.55,22.9,26.85,3.96,4.38,4.43,4.15,6.9,9.43,21.28,19.38,18.94,2.07,0.31,1.06,2.33,1.14,47.77
Abatiá (PR),73.23,16.2,16.76,13.19,13.45,13.61,14.06,10.2,0,9.9,9.8,17.24,,,,0.98,,9.66
Abdon Batista (SC),73.74,15.4,9.73,20.75,18.58,17.33,16.42,41.67,0,37.04,0,0,,3.03,,,,16.39
Abelardo Luz (SC),76.1,12.1,11.05,36.5,25.86,22.91,22.56,23.26,13.38,6.9,6.37,21.66,1.94,2.01,0.69,1.59,1.08,19.55
Abel Figueiredo (PA),73,18.35,17.76,6.87,7.72,6.75,7.37,23.26,0,20.98,42.74,28.17,3.1,1,0.7,1.71,3.52,31.19
Abre Campo (MG),74.36,16.3,12.27,8.32,8.91,9.63,9.09,13.07,31.65,27.03,0,0,1.31,1.27,,,,23.33
Abreu E Lima (PE),72.46,20.1,10.15,10.44,10.78,9.76,9.55,10.44,15.73,13.51,10.76,7.24,0.91,0.92,0.98,0.61,0.86,20.2
Abreulândia (TO),75.12,13.7,13.38,8.89,8.48,10.61,12.31,27.03,0,0,55.56,37.04,2.7,2.44,3.33,2.78,,26.79
Acaiaca (MG),74.36,16.3,13.94,6.29,6.05,5.67,5.95,0,0,0,0,0,,,,2.44,,26.53
Açailândia (MA),72.07,23.2,17.69,12.17,12.88,13.26,12.01,17.6,17.46,19.18,20.31,13.67,1.56,1.7,1.53,1.35,1.31,25.17
Acajutiba (BA),68.39,32.6,22.31,5.87,5.74,5.36,4.85,14.93,5.62,21.98,17.44,21.28,0.5,1.69,0.55,1.16,1.06,48.78
Acará (PA),70.44,25.6,21.31,13.5,8.41,8.56,9.68,13.47,17.92,9.62,15.06,16.13,2.21,1.61,2.14,1.71,1.51,53.47
Acarape (CE),67.56,34.4,21.77,5.34,5.56,5.26,5.19,20.58,16.88,0,30.97,14.56,3.29,2.53,0.89,0.44,0.97,32.88
Acaraú (CE),70.47,25.1,28.83,6.51,6.79,6.5,6.25,17.56,8.3,15.4,22.77,8.81,1.76,0.93,1.73,0.69,0.39,51.22
Acari (RN),71.73,21.7,17.81,7.23,7.33,7.17,6.36,21.43,0,13.33,9.17,19.05,,0.68,2,,0.95,20.79
Acauã (PI),66.53,39.8,30.41,3.83,4.19,4.29,4.07,25,34.48,57.47,0,38.1,5,,,1.18,,49.62
Aceguá (RS),76.14,12,6.4,32.78,35.67,36.93,35.13,35.09,13.7,0,20.41,0,1.75,,,,,13.65
Acopiara (CE),68.41,31.5,32.87,4.58,4.98,4.74,4.63,17.3,12.68,4.77,13.7,19.54,1.04,0.63,0.64,0.17,1.24,45.21
Acorizal (MT),73.98,17,23.58,6.52,7.09,7.66,8.87,28.17,31.75,31.25,16.13,0,1.41,,1.56,3.23,,28.54
Acrelândia (AC),73.45,18.3,15.64,13.45,12.02,11.09,10.7,11.63,18.59,9.22,0,11.72,0.78,1.49,0.92,,0.39,36.56
Acreúna (GO),74.29,14.2,14.57,18.97,19.02,17.26,18.62,14.6,23.89,18.8,16,14.76,0.36,1.02,1.5,1.2,0.74,8.08
Açucena (MG),75.66,14.3,19.81,5.2,6.53,5.82,6.24,18.69,10.42,26.09,0,0,0.93,1.04,,,0.88,30.7
Açu (RN),72.69,21.19,22.48,12.15,11.51,10.75,9.01,14.18,9.58,18.92,16.75,8.08,0.85,1.68,1.01,1.8,1.21,22.16
Adamantina (SP),76.13,12,6.14,19.53,19.41,21.82,21.8,11.33,7.87,11.2,16.22,11.63,0.57,0.79,0.28,0.81,,2.57
Adelândia (GO),75.17,13,14.65,9.15,9.37,8.52,8.29,,,,,,,,,,,10.89
Adolfo (SP),75.62,13.8,8.13,16.91,16.66,14.69,15.88,0,17.86,19.23,0,0,,1.79,,,,3.43
Adrianópolis (PR),74.02,14,16.82,13.82,14.22,19.35,25.22,13.7,43.48,12.5,14.29,10.2,1.37,1.45,1.25,1.43,2.04,22.59
Adustina (BA),68.07,33.7,35.53,6.57,4.56,6.73,3.9,11.9,22.99,20.13,28.57,5.71,,0.57,0.67,0.71,0.57,49.98
Afogados da Ingazeira (PE),73.39,17.8,23.12,7.59,8.31,7.19,6.95,12.54,12.25,9.01,24.14,13.41,0.78,0.15,0.6,0.69,1.15,31.66
Afonso Bezerra (RN),67.76,33.9,30.68,4.9,4.75,5.11,5.02,33.06,8.2,0,17.24,9.01,1.65,0.82,2.24,0.86,1.8,40
Afonso Cláudio (ES),74.51,14.8,14.3,8.89,9.1,8.75,9.68,11.9,15.71,12.32,19.83,8.24,0.48,0.52,0.74,0.57,0.27,19.02
Afonso Cunha (MA),68.48,34.4,34.64,3.76,4.47,4.1,3.67,19.42,26.55,39.22,9.26,67.96,1.94,3.54,0.98,0.93,0.97,66.8
Afrânio (PE),70.68,24.9,25.78,5.56,5.58,5.45,5.19,20.2,16.39,7.43,14.08,23.08,0.34,0.66,1.86,0.7,,46.77
Afuá (PA),71.43,22.8,28.88,6,6.41,6.27,5.55,11.42,12.41,18.37,10.98,16.53,3.05,2.61,2.41,2.31,2.48,64.88
Agrestina (PE),70.57,25.3,32.35,5.91,6.4,5.97,5.99,8.29,14.04,8.4,6.19,5.92,,1.97,1.12,1.24,2.07,33.9
Agricolândia (PI),69.53,29.3,27.47,3.58,3.79,4.07,3.87,20,0,35.71,27.4,0,2,1.32,1.19,2.74,2.47,41.1
Agrolândia (SC),74.63,14.1,5.11,18.24,20.19,16.27,14.38,14.49,8,30.12,0,18.87,1.45,0.8,0.6,0.72,,3.13
Agronômica (SC),78.06,9.7,5.58,19.17,20.15,17.1,17.11,0,0,0,0,14.71,,,1.89,,,1.8
Água Azul do Norte (PA),72.83,19.1,11.77,9.29,9.66,10.41,10.83,36.84,16.48,5.03,49.08,13.95,2.11,1.65,2.01,1.84,0.93,33.99
Água Boa (MG),72.94,18.7,27.42,5.94,5.93,5.8,6.14,10.36,6.67,0,6.9,15.79,2.07,2,0.56,0.69,2.11,31.79
Água Boa (MT),74.71,15.8,7.69,23.5,26.5,24.49,24.86,9.04,14.63,23.36,17.68,10.23,0.9,2.2,0.7,1.26,0.51,7.38
Água Branca (AL),68.7,33.8,30.92,4.33,4.27,4.1,4.1,44.64,14.44,11.94,21.58,11.83,0.6,2.89,2.39,1.08,0.89,52.87
Água Branca (PB),67.72,34.9,26.36,4.65,5.09,5.07,4.9,11.36,20.83,18.02,14.71,9.26,2.27,,,0.74,,46.27
Água Branca (PI),70.79,25.5,24.14,6.07,6.53,6.52,6.8,27.12,21.98,3.4,0,19.48,0.68,1.83,0.68,1.08,0.65,30.26
Água Clara (MS),74.4,18.8,8.98,28.04,28.66,43.92,50.38,10.79,4.05,11.86,11.72,6.33,1.08,1.21,0.4,,0.95,6
Água Comprida (MG),76.58,13,7.9,48.9,37.55,31.19,43.75,125,0,0,0,0,,,,,,4.39
Água Doce do Maranhão (MA),66.81,40.6,36.03,3.69,3.83,3.82,3.94,6.29,6.8,17.65,6.1,11.9,0.63,3.4,0.59,1.83,1.19,59.52
Água Doce do Norte (ES),74.13,15.3,20,8.27,8.72,8.29,8.02,13.07,6.58,12.27,18.75,12.42,1.96,,,1.88,0.62,24.05
Água Doce (SC),74.2,14.7,7.2,29.84,28.86,27.69,29.55,13.7,11.24,0,13.51,18.87,2.74,2.25,1.94,,0.94,12.29
Água Fria (BA),69.79,28,27.26,3.98,4.25,4.52,5.28,16.3,0,10.53,17.24,47.06,1.63,2.23,0.53,2.3,0.59,50.3
Água Fria de Goiás (GO),74.01,14.6,14.86,25.74,23.59,26.38,33.01,19.61,18.18,0,0,0,,1.82,1.92,,,23.68
Aguaí (SP),76.49,12.5,7.73,16.18,17.55,13.88,14.42,7.25,15.27,9.69,23.08,16.06,1.45,0.51,,0.26,0.69,6.89
Água Limpa (GO),74.24,14.2,10.13,17,18.36,16.45,14.63,0,0,0,0,45.45,,,,,,6.71
Aguanil (MG),75.7,14.3,13.21,8.29,8.65,8.1,9.76,0,0,19.61,0,68.18,,1.89,,,,8.51
Água Nova (RN),71.56,22.2,22.66,5.29,5.35,5.42,5.04,0,0,0,0,0,2.27,,2.38,2.5,,42.81
Água Preta (PE),70.64,25,30.66,4.33,4.58,4.48,4.72,10.18,9.07,10.99,8.15,6.17,0.61,2.72,1.47,1.83,1.23,48.36
Água Santa (RS),76,11.4,5.42,53.23,47.16,49.79,48.97,22.73,0,0,69.77,0,,,,2.33,,6.62
Águas Belas (PE),66.44,39,40.23,4.84,4.96,4.85,4.86,21.41,13.07,14.21,16.37,20.86,1.01,1.18,1.42,1.49,1.53,50.88
Águas da Prata (SP),78.13,9.6,6.04,11.74,12.96,12.33,11.74,14.49,11.11,0,11.76,25.32,,1.11,1.23,1.18,,3.56
Águas de Chapecó (SC),73.66,15.5,6.4,11.26,10.91,9.85,10.45,14.08,31.25,0,23.26,0,,4.69,2.6,1.16,,8.04
Águas de Lindóia (SP),75.76,12.5,5.96,16.26,16.11,18.54,16.42,0,9.01,0,9.22,8.37,0.84,,0.46,1.38,0.42,2.38
Águas de Santa Bárbara (SP),75.41,13,5.16,16.26,16.89,14.7,17.5,30.77,52.63,0,23.26,0,1.54,2.63,1.16,1.16,,4.79
Águas de São Pedro (SP),78.37,9.3,1.45,26.97,30.68,28.82,27.47,0,38.46,38.46,0,0,,,,,,0.8
Águas Formosas (MG),73.63,17.5,24.4,7.18,7.61,7.39,7.62,22.73,15.27,21.98,28.11,19.69,0.76,1.53,0.37,1.2,0.39,31.69
Águas Frias (SC),76.61,11.4,9.09,40.34,22.75,21.69,24.29,0,0,26.32,0,0,,,,4.35,,5.95
Águas Lindas de Goiás (GO),75.85,11.62,7.01,5.81,6.17,5.96,5.65,13.15,18.48,9.73,13.77,12.46,1.12,0.96,1.11,1.11,0.9,11.6
Águas Mornas (SC),76.15,12,5.84,21.25,19.07,16.35,15.68,16.67,16.67,0,12.99,12.82,,,1.54,1.3,,2.41
Águas Vermelhas (MG),73.46,17.8,27.57,8.86,9.14,9.05,9.04,16.3,18.52,17.54,18.18,0,0.54,1.23,,1.21,1.73,33.19
Agudo (RS),75.84,12.4,6.78,17.33,19.77,18.09,16.45,22.22,18.52,12.42,0,0,0.56,,,0.61,,8.71
Agudos do Sul (PR),72.41,16.4,8.84,11.42,12.46,12.44,12.29,0,26.55,18.35,8.85,8.85,0.88,0.88,2.75,,1.77,17.2
Agudos (SP),75.67,13.7,5.21,44,45.64,52.29,46.36,18.52,9.71,12.3,19.53,12.13,0.19,0.78,0.41,0.59,0.87,6.61
Águia Branca (ES),72.53,17.7,14.83,11.34,11.67,11.63,10.92,11.11,7.87,0,0,7.81,3.33,,0.8,0.95,0.78,20.37
Aguiarnópolis (TO),73.21,18,17.15,15.5,11.55,12.83,14.17,11.9,0,12.99,11.76,0,2.38,,,,2.63,22.35
Aguiar (PB),70.17,26.9,37.65,5.27,5.33,5.16,5.29,18.52,0,14.29,0,0,1.85,,2.86,3.03,,38.4
Aimorés (MG),73.58,17.6,14.49,12.54,11.72,11.17,10.6,14.58,9.38,21.51,16.18,0,0.87,,0.36,0.32,,14.09
Aiquara (BA),69,30.6,23.76,7.14,7.82,7.89,6.97,0,41.67,40,16.95,14.71,,2.08,,1.69,2.94,27.11
Aiuaba (CE),69.96,26.6,34.14,3.92,4.35,4.51,3.95,12.5,12.82,29.59,5.81,10.87,,1.28,2.37,0.58,,52.55
Aiuruoca (MG),77.23,12.1,14.07,9.02,8.79,8.83,10.52,0,0,22.73,0,0,,,,,,11.7
Ajuricaba (RS),75.98,12.2,5.14,22.91,21.11,23.28,23.73,12.35,16.39,14.71,0,0,,,1.47,,,3.62
Alagoa Grande (PB),72.83,19.5,34.7,5.69,5.8,5.69,5.56,17.28,13.74,13.62,20.77,16.81,0.74,2.2,0.54,1.48,1.68,39.36
Alagoa (MG),74.93,15.4,14.44,8.15,8.04,7.83,7.57,0,0,52.63,111.11,0,,,,,,17.57
Alagoa Nova (PB),69.93,27.6,28.54,9.81,8.61,9.06,8.09,18.24,17.86,8.85,21.28,24.17,1.52,2.68,2.06,1.52,0.3,43.82
Alagoinha do Piauí (PI),67.95,34.6,44.4,3.84,4.11,4.34,4.05,0,0,11.76,11.76,35.29,2.25,1.28,,,1.18,48.56
Alagoinha (PB),72.72,19.8,35.29,4.27,4.66,4.62,4.6,13.04,12.5,0,12.5,8.47,0.43,,,1.25,1.69,42.05
Alagoinha (PE),73.04,18.6,26.62,5.85,5.77,5.69,5.47,0,11.49,22.35,20.94,10.81,2.22,0.57,1.68,1.05,1.62,37.1
Alagoinhas (BA),72.39,21.84,10.11,14.59,14.13,12.79,13.58,22.74,16.55,15.16,17.71,14.64,1.16,0.85,0.98,0.95,0.96,19.42
Alambari (SP),73.27,17.5,6.59,11,10.28,10.99,10.24,29.41,17.24,15.87,25,0,1.47,,1.59,,,7.61
Albertina (MG),73.76,17.3,11.94,14.58,18.69,18.24,17.13,37.04,45.45,111.11,0,0,3.7,4.55,5.56,,,3.02
Alcântara (MA),70.18,28.8,22.44,3.4,3.64,3.48,3.6,20.75,4.12,25,17.24,4.37,0.83,1.65,1.88,1.72,1.31,54.48
Alcântaras (CE),70.07,26.3,29.11,3.58,4.19,3.78,3.47,0,13.79,7.94,25.42,0,0.64,1.38,2.38,,,37.34
Alcantil (PB),70.91,24.7,30.6,4.82,5.14,4.92,4.72,22.73,43.86,9.09,0,21.58,,,0.91,1.53,0.72,41.92
Alcinópolis (MS),76.46,15.3,11.04,21.91,22.66,23.21,20.38,,,,,,,,,,2,4.67
Alcobaça (BA),71.28,23.6,23.59,7.18,7.1,7.27,7.4,13.56,26.23,14.13,6.69,23.89,2.03,2.95,1.77,1.67,1.37,32.69
Aldeias Altas (MA),68.22,35.3,37.68,3.82,5.25,5.83,4.3,20.53,32.54,6.93,15.31,16.2,1.85,1.74,1.85,1.28,1.62,60.07
Alecrim (RS),76.13,11.3,7.86,10.18,10.07,9.88,9.88,19.23,33.9,0,0,0,,5.08,2.08,,,16.76
Alegre (ES),75.35,13.6,13.54,11.16,11.35,9.68,10.06,16.26,16.75,20,12.01,5.1,0.27,0.48,0.25,0.9,0.26,13.08
Alegrete do Piauí (PI),69.94,28,35.26,3.96,4.48,4.77,4.67,0,0,0,0,12.99,,1.69,,,,39.16
Alegrete (RS),75.93,11.5,5.92,16.05,16.69,16.74,15.73,8.56,6.49,11.53,10.49,13.51,0.53,1.08,0.1,0.35,0.34,9.47
Alegria (RS),74.07,14,10.02,14.77,15.63,16.16,17.36,29.41,0,0,26.32,0,,,,,,12.57
Além Paraíba (MG),76.43,13.2,6.36,16.55,16.29,16.42,15.22,16.91,6.58,10.8,29.2,19.66,0.97,0.22,1.08,0.97,0.25,9.22
Alenquer (PA),71.72,22,15.6,8.68,7.7,6.85,7.97,28.42,22.07,16.77,20.37,26.5,1.69,1.77,1.06,1.36,1.41,52.34
Alexandria (RN),71.71,21.8,33.42,5.58,5.68,5.87,5.7,16.39,0,12.58,0,11.76,1.64,,,1.62,1.18,39.4
Alexânia (GO),75.48,12.5,11.73,20.74,20.43,20.18,35.16,23.68,15,9.64,22.17,11.44,1.05,0.5,0.72,1.48,0.46,13.88
Alfenas (MG),75.45,14.6,5.77,18.98,19.63,19.5,19.23,10.9,9.77,7.9,14.82,14.03,0.4,0.29,0.49,0.4,0.6,5.53
Alfredo Chaves (ES),74.93,14.2,7.89,16.13,16.56,14.3,15.47,14.49,24,30.3,8.4,0,,,,,,8.68
Alfredo Marcondes (SP),75.41,14.1,10.13,13.54,14.2,12.62,12,21.74,0,43.48,71.43,20.83,,4.88,,,,4.66
Alfredo Vasconcelos (MG),75.01,15.3,9.94,9.28,8.73,8.83,9.23,34.88,13.89,0,12.66,40.82,,,,,,16.92
Alfredo Wagner (SC),77.9,9.8,9.4,14.09,14.28,14.14,18.22,17.54,0,0,9.09,14.93,0.88,0.78,0.82,0.91,,12.22
Algodão de Jandaíra (PB),69.93,27.6,32.68,6.33,6.74,6.7,6.18,25.64,0,39.22,34.48,0,,,,3.45,1.96,44.78
Alhandra (PB),71.69,22.5,26.27,26.61,29.52,28.88,29.55,10.5,14.02,9.71,7.35,6.98,1.84,1.17,1.7,0.49,1.16,39.52
Aliança do Tocantins (TO),73.04,18.4,14.44,9.32,9.05,9.42,11.25,0,12.82,14.08,29.41,0,,,2.82,1.47,2.15,20.82
Aliança (PE),72.93,18.9,27.22,5.11,5.3,5.05,5.56,20.45,6.55,15.79,19.69,13.33,1.49,1.15,1.05,1.53,0.95,35.28
Almadina (BA),70.07,27.2,31.82,5.48,8.74,6.81,6.07,25.97,0,0,41.1,26.32,5.19,4.41,,2.74,2.63,38.08
Almas (TO),72.74,19.1,21.72,10.4,11.3,11.69,11.35,15.5,15.63,46.3,8.85,7.81,1.55,3.91,0.93,1.77,2.34,34.89
Almeirim (PA),73.55,17.4,13.73,11.34,11.83,10.28,11.76,19.89,17.48,20.08,13.53,17.45,2.52,2.75,2.02,1.49,1.74,38.3
Almenara (MG),73.18,18.3,21.8,7.61,7.99,8.03,7.58,14.41,14.76,14.88,17.04,12.24,1.26,0.55,0.5,0.68,0.7,25.31
Almino Afonso (RN),69.32,28.8,25.05,5.07,4.98,5.05,4.63,0,16.39,0,31.25,20,1.75,,1.54,,,34.52
Almirante Tamandaré do Sul (RS),74.67,13.2,4.27,41.79,39.16,41.89,43.89,41.67,0,0,0,0,,,,,,7.16
Almirante Tamandaré (PR),75.39,12.96,6.06,8.36,8.57,8.06,8.12,9.36,12.02,7.89,8.28,10.08,0.68,1.2,0.79,0.5,0.39,4.89
Aloândia (GO),75.02,13.1,14.93,12.7,12.88,12.36,12.4,,,,,,,,,,,7.45
Alpercata (MG),74.43,16.2,16.13,7.12,6.7,6.35,6.78,0,32.97,21.74,11.24,0,1.14,2.2,2.17,,1.09,15.19
Alpestre (RS),72.69,16.1,12.73,11.75,12.34,50.6,39.8,16.39,13.89,0,0,0,,,,1.39,1.43,12.75
Alpinópolis (MG),76.71,12.8,7.69,11.17,11.64,11.11,11.68,8.51,17.61,3.72,31.96,4.39,1.28,0.35,0.37,0.46,0.88,8.46
Alta Floresta D'Oeste (RO),70.75,23.8,11.99,11.1,11.59,11.89,12.44,18.32,5.87,18.77,15.34,14.12,0.79,1.17,0.27,0.31,0.28,26.04
Alta Floresta (MT),73.99,17,8.88,15.18,16.7,18.22,21,12.06,9.81,16.78,14.17,19.19,0.36,0.87,0.45,0.24,0.34,5.77
Altair (SP),73,18,10.2,20.19,19.1,15.24,32.52,0,21.74,24.39,18.87,20.41,2.27,2.17,4.88,,4.08,5.38
Altamira do Maranhão (MA),68.16,35.6,32.98,3.32,3.7,3.74,4.04,0,9.62,19.61,12.05,34.09,,2.88,2.94,3.61,4.55,55.51
Altamira do Paraná (PR),71.79,18.6,17.57,12.34,13.04,13.78,15.16,18.52,36.36,16.67,0,0,3.7,1.82,,1.85,1.41,25.06
Altamira (PA),73.64,17.27,12.45,24.64,29.11,21.32,14.93,20.96,21.28,16.38,16.87,14.07,2.06,2.83,2.47,2.21,1.53,22.38
Altaneira (CE),71.41,22.5,31.83,4.37,5.14,4.3,4.05,32.61,21.51,9.01,8.93,8.85,2.17,1.08,0.9,0.89,2.65,49.56
Alterosa (MG),75.83,14.1,10.4,8.84,9.23,8.94,9.75,25.16,11.76,11.24,0,5.38,0.63,1.18,1.69,0.67,0.54,12.4
Altinho (PE),72.54,19.9,34.63,4.32,4.64,4.29,4.06,3.72,16.74,7.87,29.79,21.58,2.97,0.84,,1.28,0.72,42.07
Altinópolis (SP),75.57,13.9,6.08,17.43,19.1,17.01,18.95,5.15,11.05,10.1,16.67,16.39,1.03,,0.51,,1.09,2.84
Alto Alegre do Maranhão (MA),69.62,30.6,29.28,5.36,6.08,5.54,5.41,17.82,27.14,21.32,15.95,11.93,2,2.3,1.92,1.59,2.15,50.64
Alto Alegre do Pindaré (MA),71.44,25,32.25,3.6,3.4,3.36,3.73,7.83,10.96,14.23,16.88,12.53,2.15,1.97,1.83,1.69,2.51,64.61
Alto Alegre dos Parecis (RO),71.64,21.4,13.53,11.09,11.97,11,10.91,12.27,29.07,6.71,0,11.63,0.61,0.58,0.67,0.6,1.16,33.84
Alto Alegre (RR),73.78,15.6,40.06,9.24,9.19,9.88,10.29,71.55,49.73,45.45,41.94,34.22,4.16,3.05,4.76,3.88,3.43,61.63
Alto Alegre (RS),76.52,10.8,7.36,26.15,23.22,22.4,24.16,0,0,0,0,0,,,,,,6.55
Alto Alegre (SP),74,16.3,8.56,14.59,17.23,13.65,16.29,21.28,0,33.33,0,0,,,,2.63,,3.63
Alto Araguaia (MT),73.13,18.4,8.64,37.36,35.55,32.6,33.39,17.99,15.69,15.81,15.94,9.09,1.08,0.78,0.79,1.59,1.36,9.48
Alto Bela Vista (SC),77.93,9.8,4.04,16.64,17.76,17.53,16.41,,,,,,,,,,,7.86
Alto Boa Vista (MT),73.2,18.3,11.51,8.74,9.03,9.92,11.21,18.52,0,0,37.04,0,1.85,2.44,,,1.39,35.68
Alto Caparaó (MG),75.54,14.5,11.29,7.54,7.83,9.27,10.08,12.2,0,24.39,13.7,0,1.22,,,1.37,,11.78
Alto do Rodrigues (RN),72.98,18.6,19.3,28.23,36.89,23.19,20.01,22.06,13.16,10.31,0,11.17,,,1.03,1.36,1.12,16.86
Alto Feliz (RS),78.14,8.9,2.69,16.11,16.95,18.33,18.2,142.86,0,31.25,0,0,,,,,,1.53
